Bill Amount,Who Tipped,Tip Amount,Ethnicity,Day Dined,Meal Period,How Dined,Overall Satisfaction,Will Return,Would Recommend,Greeted Friendly,Meal Quality,Overall Service,"Music, Lighting, Temp.",Cleanliness,Food Delivery Speed,Bev. Service Speed,Offered Appetizer
$37.35,Me,$7.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$11.89,Me,$1.00,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$50.46,Me,$20.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$68.54,Me,$10.00,Prefer not to answer,Sat,Dinner,Dine In,Fair,Might or Might Not,Definitely Would Not,No,Poor,Fair,Very Good,Very Good,Good,Very Good,No
$23.00,Me,$4.25,White,Mon,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Excellent,Don't Remember
$25.26,Me,$4.00,Other,Mon,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes
$23.18,Me,$2.00,Hispanic,Tue,Lunch,Dine In,Good,Definitely Will,Probably Would,Yes,Excellent,Good,Very Good,Very Good,Fair,Fair,No
$22.42,Me,$7.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$40.06,Me,$6.00,Asian,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$13.32,Me,$2.00,Prefer not to answer,Wed,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Good,Excellent,Excellent,Excellent,No
$58.24,Me,$10.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$38.79,Me,$6.00,White,Sat,Dinner,Dine In,Very Good,Probably Not,Might or Might Not,Yes,Very Good,Very Good,Good,Good,Very Good,Very Good,No
$13.52,Me,$3.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$30.00,Me,$6.00,Hispanic,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$50.26,Me,$15.00,Asian,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Very Good,Yes
$30.73,Me,$5.00,White,Mon,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Very Good,Very Good,Excellent,No
$21.14,Me,$5.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$22.99,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$10.27,Me,$2.00,White,Fri,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Good,Very Good,Good,Very Good,Excellent,Excellent,Yes
$8.56,Me,$1.46,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$50.08,Me,$0.10,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$47.68,Me,$8.32,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$20.27,Me,$4.00,White,Thu,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$28.00,Me,$5.00,Hispanic,Wed,Dinner,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Yes
$17.91,Me,$7.09,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$31.00,Me,$0.05,White,Fri,Dinner,Dine In,Very Good,Might or Might Not,Might or Might Not,Yes,Very Good,Very Good,Good,Good,Very Good,Very Good,No
$37.08,Me,$0.07,White,Wed,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Very Good,Yes
$30.00,Me,$7.00,White,Wed,Dinner,Dine In,Very Good,Probably Will,Might or Might Not,Yes,Good,Very Good,Good,Very Good,Very Good,Very Good,Yes
$13.60,Me,$4.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$54.58,Me,$11.42,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$92.33,Me,$10.00,Prefer not to answer,Thu,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Yes
$174.79,Me,$30.00,Hispanic,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$28.25,Me,$0.05,Asian,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$101.14,Me,$20.00,Hispanic,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$43.12,Me,$10.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$33.26,Me,$7.00,White,Thu,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$49.09,Me,$10.91,Other,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$58.06,Me,,Asian,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Very Good,Don't Remember
$18.73,Me,$3.27,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$47.33,Me,$9.00,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,Yes
$157.59,Me,$15.00,White,Sun,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Excellent,Good,Very Good,Excellent,Excellent,Yes
$66.16,Me,$9.00,White,Thu,Dinner,Dine In,Good,Definitely Will,Probably Would,Yes,Very Good,Very Good,Excellent,Excellent,Good,Very Good,No
$52.44,Me,$10.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Very Good,Very Good,Yes
$36.03,Me,$6.00,Black,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$24.08,Me,$5.92,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Probably Would,No,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$73.40,Me,$11.00,White,Thu,Lunch,Dine In,Good,Probably Will,Might or Might Not,Yes,Very Good,Good,Very Good,Very Good,Good,Fair,No
$51.88,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$44.33,Me,$8.00,Prefer not to answer,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Yes
$43.46,Me,$4.54,Hispanic,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$58.01,Me,$11.00,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$15.00,Me,$4.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$42.66,Me,$7.00,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,No
$56.05,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Yes
$14.78,Me,$0.05,White,Fri,Lunch,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes
$29.16,Me,$5.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$16.03,Me,$3.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$53.95,Me,$7.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$20.06,Me,$4.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Excellent,No
$11.73,Me,$2.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$50.90,Me,$5.00,Hispanic,Mon,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Good,Very Good,Good,Very Good,Very Good,Very Good,Don't Remember
$119.18,Me,$30.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$33.45,Me,$4.55,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Very Good,Good,No
$18.63,Me,$7.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Don't Remember
$37.31,Me,$6.00,White,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Very Good,Good,Very Good,Very Good,Very Good,No
$38.79,Me,$6.00,Prefer not to answer,Sun,Lunch,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Yes
$46.96,Me,$6.00,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Good,Excellent,Excellent,Excellent,No
$26.71,Me,$7.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$133.86,Me,$27.00,White,Fri,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,No
$32.74,Me,$7.26,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Excellent,Very Good,Excellent,Yes
$35.05,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$77.28,Me,$11.06,Hispanic,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$39.37,Me,$5.63,Black,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$25.00,Me,$8.00,White,Sat,Dinner,Dine In,Good,Probably Will,Probably Would,No,Excellent,Good,Very Good,Very Good,Excellent,Excellent,Yes
$128.08,Me,$10.00,Prefer not to answer,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Very Good,Very Good,Don't Remember
$69.81,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$22.66,Me,$4.00,White,Thu,Dinner,Dine In,Very Good,Probably Will,Might or Might Not,No,Excellent,Good,Very Good,Very Good,Good,Very Good,No
$35.68,Me,$4.32,Prefer not to answer,Fri,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Good,Good,Very Good,No
$37.00,Me,,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$55.97,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$40.00,Me,$8.00,Black,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$61.61,Me,$12.39,White,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Very Good,Good,No
$46.55,Me,$5.45,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$43.58,Me,$11.42,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$88.82,Me,$15.00,Black,Sun,Lunch,Dine In,Fair,Probably Not,Probably Would Not,Yes,Poor,Poor - Poor,Excellent,Very Good,Poor,Fair,No
$33.77,Me,$8.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$35.71,Me,$2.29,Other,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Don't Remember
$27.05,Me,$4.06,White,Sun,Dinner,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,No
$86.16,Me,$15.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Good,Excellent,Excellent,Very Good,No
$40.33,Me,$5.00,Hispanic,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Very Good,Very Good,No
$32.99,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$37.26,Me,$7.75,White,Wed,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$40.00,Me,$7.35,White,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Very Good,Excellent,Yes
$44.22,Me,$3.00,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,No,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,Yes
$50.40,Me,$5.60,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$53.00,Me,$0.10,White,Sun,Lunch,Dine In,Very Good,Probably Will,Probably Would Not,Yes,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$43.47,Me,$6.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Very Good,Very Good,No
$16.63,Me,$3.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$44.58,Me,$8.00,White,Sat,Dinner,Dine In,Good,Might or Might Not,Might or Might Not,Yes,Good,Very Good,Very Good,Excellent,Very Good,Excellent,Don't Remember
$25.98,Me,$0.02,Asian,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Yes
$85.56,Me,$12.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$57.04,Me,$6.96,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Excellent,Excellent,No
$63.67,Me,$6.33,White,Sun,Dinner,Dine In,Very Good,Might or Might Not,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Excellent,Yes
$80.70,Me,$15.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$44.02,Me,$0.06,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$65.64,Me,$10.36,Hispanic,Sun,Lunch,Dine In,Very Good,Might or Might Not,Might or Might Not,Yes,Very Good,Excellent,Fair,Good,Excellent,Excellent,Yes
$34.21,Me,$6.79,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$22.70,Me,$6.50,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$18.97,Me,$4.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$114.02,Me,$20.00,White,Fri,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$129.00,Me,$12.00,White,Sun,Dinner,Dine In,Poor,Probably Not,Probably Would Not,Yes,Poor,Poor - Poor,Good,Good,Poor,Fair,No
$48.19,Me,$6.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Very Good,Yes
$18.48,Someone else,,Hispanic,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Yes
$193.29,Me,$49.71,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,Yes
$39.57,Me,$8.00,Hispanic,Sun,Lunch,Dine In,Excellent,Probably Will,Probably Would,Yes,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$33.23,Me,$5.00,White,Mon,Dinner,Dine In,Fair,Probably Not,Probably Would Not,Yes,Excellent,Poor - Poor,Good,Poor,Poor,Poor,No
$68.75,Me,$6.25,White,Mon,Dinner,Dine In,Fair,Might or Might Not,Probably Would Not,Yes,Very Good,Poor - Poor,Good,Very Good,Poor,Poor,Don't Remember
$45.62,Me,$5.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$11.97,Me,$8.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$64.63,Me,$10.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$50.00,Me,$0.05,Asian,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$51.12,Me,$11.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$33.54,Me,$5.50,White,Sun,Dinner,Dine In,Good,Probably Will,Probably Would,Yes,Excellent,Good,Very Good,Very Good,Excellent,Excellent,Yes
$14.33,Me,$3.00,Hispanic,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$17.05,Me,$6.00,White,Thu,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Very Good,Very Good,Excellent,No
$43.18,Me,$6.00,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Good,Good,Don't Remember
$21.48,Me,$4.00,White,Fri,Lunch,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Excellent,Good,Very Good,Excellent,Excellent,No
$45.78,Me,$10.00,White,Sun,Lunch,Dine In,Very Good,Probably Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Excellent,Yes
$18.94,Me,$4.00,White,Tue,Lunch,Dine In,Good,Probably Will,Might or Might Not,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$41.77,Me,$0.05,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$63.24,Me,$10.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$32.38,Me,$8.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$38.05,Me,$5.00,Hispanic,Mon,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Excellent,Excellent,Excellent,Good,Very Good,Don't Remember
$27.81,Me,$10.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$28.80,Me,$5.00,Black,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$29.87,Me,$8.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$24.73,Me,$3.27,Other,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$21.91,Me,$3.09,Prefer not to answer,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$50.00,Me,$0.10,White,Sat,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Good,Very Good,Excellent,Good,Fair,No
$19.52,Me,$3.00,White,Sat,Lunch,Dine In,Fair,Probably Not,Probably Would Not,Yes,Good,Fair,Good,Very Good,Good,Very Good,No
$70.00,Me,$8.05,Asian,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,No
$24.82,Me,$5.00,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$36.13,Me,$6.00,White,Thu,Dinner,Dine In,Very Good,Probably Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Very Good,Excellent,Yes
$25.36,Me,$4.00,Other,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$65.62,Me,$10.00,White,Wed,Dinner,Dine In,Very Good,Probably Will,Might or Might Not,Yes,Very Good,Good,Excellent,Excellent,Very Good,Very Good,No
$24.40,Me,$4.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$66.50,Me,$6.05,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$93.30,Me,$18.70,Asian,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$52.43,Me,$13.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$50.00,Me,$10.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$17.06,Me,$3.00,White,Sun,Dinner,Dine In,Poor,Definitely Not,Definitely Would Not,No,Fair,Fair,Good,Fair,Good,Good,No
$35.25,Me,$5.47,Hispanic,Tue,Dinner,Dine In,Very Good,Might or Might Not,Probably Would,Yes,Very Good,Excellent,Very Good,Good,Excellent,Excellent,No
$18.48,Me,$4.00,Prefer not to answer,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Don't Remember
$20.99,Me,$4.00,White,Wed,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Good,Excellent,Excellent,Very Good,Very Good,Yes
$19.38,Me,$0.03,White,Wed,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Very Good,Very Good,Excellent,Excellent,Very Good,Excellent,Don't Remember
$32.00,Me,$6.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Good,Very Good,Very Good,Excellent,Yes
$35.20,Me,$7.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$34.15,Me,$8.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$16.64,Me,$3.00,Hispanic,Sun,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$21.60,Me,$3.25,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$41.21,Me,$8.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$46.61,Me,$7.00,White,Wed,Dinner,Dine In,Good,Might or Might Not,Might or Might Not,Yes,Good,Very Good,Very Good,Very Good,Good,Very Good,Don't Remember
